Processing article10_Russia.txt...
  Russian, GPE
  City Council, ORGANIZATION
  Bill Linehan, PERSON
  Boston, GPE
  City Hall, FACILITY
  Boston, GPE
  Thomas M. Menino, PERSON
  Judy, PERSON
  Pais, GPE
  Meninos, ORGANIZATION
  Hyde Park, ORGANIZATION
  Chesterfield Street, FACILITY
  Pais, PERSON
  Meninos, ORGANIZATION
  Menino, PERSON
  Pais, PERSON
  Marion Barone, PERSON
  Menino, PERSON
  East Boston, GPE
  Menino, GPE
  Alvaro Laundrymat, ORGANIZATION
  Summer Street, ORGANIZATION
  Alvaro Garcia, PERSON
  Menino, PERSON
  Garcia, GPE
  Colombia, GPE
  Menino, PERSON
  Garcia, PERSON
  Menino, PERSON
  Spanish, GPE
  Italian, GPE
  Latino, GPE
  Garcia, PERSON
  Garcia, PERSON
  Spanish, GPE
  East, GPE
  Boston, ORGANIZATION
  Children, GPE
  Thomas M. Menino Community Room, PERSON
  Maverick, GPE
  LoPresti Park, ORGANIZATION
  Mario Umana Academy, ORGANIZATION
  Sunshine, PERSON
  Lo Presti Park, PERSON
  Menino, PERSON
  Boston Harbor, GPE
  Zakim Bridge, PERSON
  Michael Crowley, PERSON
  Umana, GPE
  Boston, GPE
  Santarpio, ORGANIZATION
  Pizza, PERSON
  Menino, GPE
  Tommy, PERSON
  Tony Costanza, PERSON
  Costanza, PERSON
  Menino, PERSON
  Menino, PERSON
  Costanza, PERSON
  Menino, PERSON
  Costanza, PERSON
  Menino, PERSON
  Frank Sinatra, PERSON
  Costanza, PERSON
  City Hall, FACILITY
  Rocco, PERSON
  Addessa, ORGANIZATION
  Menino, PERSON
  Menino, PERSON
  Addessa, PERSON
  Addessa, PERSON
  City Hall, FACILITY
  Menino, PERSON
  Addessa, PERSON
  Menino, GPE
  East Boston, GPE
  Boston, GPE
  Laura Cawley, PERSON
  Cawley, GPE
  Patty, PERSON
  McKinnon, ORGANIZATION
  Cohasset, GPE
  Boston, GPE
  Menino, PERSON
  Many, PERSON
  Menino, PERSON
  Menino, PERSON
  Stephen McCloud, PERSON
  Menino, PERSON
  McCloud, PERSON
  Back, GPE
  Menino, PERSON
  Hyde Park, GPE
  Angela, GPE
  Ford Taurus, ORGANIZATION
  Angela Menino, PERSON
  Louisville, ORGANIZATION
  Bob Rand, PERSON
  Menino, GPE
  Riley, PERSON
  Rand, GPE
  Menino French, PERSON
  Dedham Diner, PERSON
  Menino, PERSON
  Menino, ORGANIZATION
  Kiley, PERSON
  Rand, GPE
  Meninos, ORGANIZATION
  Back, GPE
  Rand, GPE
  Chesterfield, GPE
